"Record.ID","e","word","accuracy"
"BUBA072","eng","raquet",1
"BUBA072","eng","snail",0
"BUBA072","eng","volcano",0
"BUBA072","eng","seahorse",1
"BUBA072","eng","dart",0
"BUBA072","eng","canoe",1
"BUBA072","eng","globe",0
"BUBA072","eng","wreath",0
"BUBA072","eng","beaver",0
"BUBA072","eng","harmonica",0
"BUBA072","eng","rhinoceros",0
"BUBA072","eng","acorn",0
"BUBA072","eng","igloo",1
"BUBA072","eng","stilts",0
"BUBA072","eng","dominos",0
"BUBA072","eng","cactus",0
"BUBA072","eng","escalator",0
"BUBA072","eng","harp",1
"BUBA072","eng","hammock",0
"BUBA072","eng","knocker",0
"BUBA072","eng","pelican",1
"BUBA072","eng","stethoscope",0
"BUBA072","eng","pyramid",1
"BUBA072","eng","muzzle",0
"BUBA072","eng","unicorn",0
"BUBA072","eng","funnel",0
"BUBA072","eng","accordion",0
"BUBA072","eng","noose",0
"BUBA072","eng","asparagus",0
"BUBA072","eng","compass",0
"BUBA072","eng","latch",0
"BUBA072","eng","tripod",0
"BUBA072","eng","scroll",0
"BUBA072","eng","tongs",0
"BUBA072","eng","sphinx",0
"BUBA072","eng","yoke",0
"BUBA072","eng","trellis",0
"BUBA072","eng","palette",1
"BUBA072","eng","protractor",0
"BUBA072","eng","abacus",0
"BUBA076","eng","bed",1
"BUBA076","eng","tree",1
"BUBA076","eng","pencil",0
"BUBA076","eng","house",1
"BUBA076","eng","whistle",0
"BUBA076","eng","scissors",0
"BUBA076","eng","comb",1
"BUBA076","eng","flower",1
"BUBA076","eng","saw",0
"BUBA076","eng","toothbrush",0
"BUBA076","eng","helicopter",0
"BUBA076","eng","broom",0
"BUBA076","eng","octopus",0
"BUBA076","eng","mushroom",0
"BUBA076","eng","hanger",0
"BUBA076","eng","wheelchair",0
"BUBA076","eng","camel",0
"BUBA076","eng","mask",0
"BUBA076","eng","pretzel",0
"BUBA076","eng","bench",0
"BUBA076","eng","raquet",0
"BUBA076","eng","snail",1
"BUBA076","eng","volcano",0
"BUBA076","eng","seahorse",0
"BUBA076","eng","dart",0
"BUBA076","eng","canoe",0
"BUBA076","eng","globe",0
"BUBA076","eng","wreath",0
"BUBA076","eng","beaver",0
"BUBA076","eng","harmonica",0
"BUBA076","eng","rhinoceros",0
"BUBA076","eng","acorn",0
"BUBA076","eng","igloo",1
"BUBA076","eng","stilts",0
"BUBA076","eng","dominos",0
"BUBA076","eng","cactus",1
"BUBA076","eng","escalator",0
"BUBA076","eng","harp",0
"BUBA076","eng","hammock",0
"BUBA076","eng","knocker",0
"BUBA076","eng","pelican",0
"BUBA076","eng","stethoscope",0
"BUBA076","eng","pyramid",0
"BUBA076","eng","muzzle",0
"BUBA076","eng","unicorn",0
"BUBA076","eng","funnel",0
"BUBA076","eng","accordion",0
"BUBA076","eng","noose",0
"BUBA076","eng","asparagus",0
"BUBA076","eng","compass",0
"BUBA076","eng","latch",0
"BUBA076","eng","tripod",0
"BUBA076","eng","scroll",0
"BUBA076","eng","tongs",0
"BUBA076","eng","sphinx",0
"BUBA076","eng","yoke",0
"BUBA076","eng","trellis",0
"BUBA076","eng","palette",0
"BUBA076","eng","protractor",0
"BUBA076","eng","abacus",0
"BUBA078","eng","bed",0
"BUBA078","eng","tree",1
"BUBA078","eng","pencil",0
"BUBA078","eng","house",1
"BUBA078","eng","whistle",0
"BUBA078","eng","scissors",1
"BUBA078","eng","comb",0
"BUBA078","eng","flower",1
"BUBA078","eng","saw",0
"BUBA078","eng","toothbrush",0
"BUBA078","eng","helicopter",0
"BUBA078","eng","broom",0
"BUBA078","eng","octopus",0
"BUBA078","eng","mushroom",0
"BUBA078","eng","hanger",0
"BUBA078","eng","wheelchair",0
"BUBA078","eng","camel",0
"BUBA078","eng","mask",0
"BUBA078","eng","pretzel",0
"BUBA078","eng","bench",0
"BUBA078","eng","raquet",1
"BUBA078","eng","snail",0
"BUBA078","eng","volcano",0
"BUBA078","eng","seahorse",0
"BUBA078","eng","dart",0
"BUBA078","eng","canoe",0
"BUBA078","eng","globe",0
"BUBA078","eng","wreath",0
"BUBA078","eng","beaver",0
"BUBA078","eng","harmonica",0
"BUBA078","eng","rhinoceros",0
"BUBA078","eng","acorn",0
"BUBA078","eng","igloo",0
"BUBA078","eng","stilts",0
"BUBA078","eng","dominos",0
"BUBA078","eng","cactus",0
"BUBA078","eng","escalator",0
"BUBA078","eng","harp",0
"BUBA078","eng","hammock",0
"BUBA078","eng","knocker",0
"BUBA078","eng","pelican",0
"BUBA078","eng","stethoscope",0
"BUBA078","eng","pyramid",0
"BUBA078","eng","muzzle",0
"BUBA078","eng","unicorn",0
"BUBA078","eng","funnel",0
"BUBA078","eng","accordion",0
"BUBA078","eng","noose",0
"BUBA078","eng","asparagus",0
"BUBA078","eng","compass",0
"BUBA078","eng","latch",0
"BUBA078","eng","tripod",0
"BUBA078","eng","scroll",0
"BUBA078","eng","tongs",0
"BUBA078","eng","sphinx",0
"BUBA078","eng","yoke",0
"BUBA078","eng","trellis",0
"BUBA078","eng","palette",0
"BUBA078","eng","protractor",0
"BUBA078","eng","abacus",0
"BUBA079","eng","bed",1
"BUBA079","eng","tree",1
"BUBA079","eng","pencil",1
"BUBA079","eng","house",0
"BUBA079","eng","whistle",1
"BUBA079","eng","scissors",1
"BUBA079","eng","comb",1
"BUBA079","eng","flower",1
"BUBA079","eng","saw",1
"BUBA079","eng","toothbrush",1
"BUBA079","eng","helicopter",1
"BUBA079","eng","broom",1
"BUBA079","eng","octopus",0
"BUBA079","eng","mushroom",1
"BUBA079","eng","hanger",1
"BUBA079","eng","wheelchair",0
"BUBA079","eng","camel",1
"BUBA079","eng","mask",0
"BUBA079","eng","pretzel",0
"BUBA079","eng","bench",1
"BUBA079","eng","raquet",0
"BUBA079","eng","snail",1
"BUBA079","eng","volcano",1
"BUBA079","eng","seahorse",1
"BUBA079","eng","dart",0
"BUBA079","eng","canoe",1
"BUBA079","eng","globe",0
"BUBA079","eng","wreath",0
"BUBA079","eng","beaver",1
"BUBA079","eng","harmonica",1
"BUBA079","eng","rhinoceros",0
"BUBA079","eng","acorn",0
"BUBA079","eng","igloo",0
"BUBA079","eng","stilts",0
"BUBA079","eng","dominos",1
"BUBA079","eng","cactus",1
"BUBA079","eng","escalator",1
"BUBA079","eng","harp",1
"BUBA079","eng","hammock",0
"BUBA079","eng","knocker",0
"BUBA079","eng","pelican",1
"BUBA079","eng","stethoscope",0
"BUBA079","eng","pyramid",1
"BUBA079","eng","muzzle",0
"BUBA079","eng","unicorn",0
"BUBA079","eng","funnel",0
"BUBA079","eng","accordion",1
"BUBA079","eng","noose",0
"BUBA079","eng","asparagus",1
"BUBA079","eng","compass",1
"BUBA079","eng","latch",0
"BUBA079","eng","tripod",0
"BUBA079","eng","scroll",0
"BUBA079","eng","tongs",0
"BUBA079","eng","sphinx",1
"BUBA079","eng","yoke",0
"BUBA079","eng","trellis",0
"BUBA079","eng","palette",0
"BUBA079","eng","protractor",0
"BUBA079","eng","abacus",0
"BUBA080","eng","bed",1
"BUBA080","eng","tree",1
"BUBA080","eng","pencil",1
"BUBA080","eng","house",1
"BUBA080","eng","whistle",1
"BUBA080","eng","scissors",1
"BUBA080","eng","comb",1
"BUBA080","eng","flower",1
"BUBA080","eng","saw",0
"BUBA080","eng","toothbrush",1
"BUBA080","eng","helicopter",0
"BUBA080","eng","broom",1
"BUBA080","eng","octopus",1
"BUBA080","eng","mushroom",1
"BUBA080","eng","hanger",1
"BUBA080","eng","wheelchair",1
"BUBA080","eng","camel",1
"BUBA080","eng","mask",1
"BUBA080","eng","pretzel",0
"BUBA080","eng","bench",1
"BUBA080","eng","raquet",0
"BUBA080","eng","snail",1
"BUBA080","eng","volcano",1
"BUBA080","eng","seahorse",0
"BUBA080","eng","dart",0
"BUBA080","eng","canoe",1
"BUBA080","eng","globe",0
"BUBA080","eng","wreath",0
"BUBA080","eng","beaver",0
"BUBA080","eng","harmonica",1
"BUBA080","eng","rhinoceros",0
"BUBA080","eng","acorn",0
"BUBA080","eng","igloo",1
"BUBA080","eng","stilts",0
"BUBA080","eng","dominos",1
"BUBA080","eng","cactus",1
"BUBA080","eng","escalator",1
"BUBA080","eng","harp",0
"BUBA080","eng","hammock",1
